Site Name,addresses,City,Zip,County
BATTLE GROVE ELEMENTARY,7828 ST. PATRICIA LANE,DUNDALK,21222,BALTIMORE
ST. PETERS LUTHERAN CHURCH,7834 EASTERN AVE,DUNDALK,21222,BALTIMORE
SOLLERS POINT MULTI PURPOSE CTR- TURNER STATION ,325 SOLLERS POINT ROAD,BALTIMORE,21222,BALTIMORE
SANDY PLAINS EL  ESY/ ELO,8330 KAVANAGH ROAD,BALTIMORE,21222,BALTIMORE
GEN STRICK MID,7855 TRAPPE ROAD,DUNDALK,21222,BALTIMORE
DUNDALK PAL SUMMER PROGRAM,15 COMMERCE STREET ,DUNDALK,21222,BALTIMORE
BERKSHIRE ELEMENTARY,7431 POPLAR AVE,BALTIMORE,21224,BALTIMORE
WESTLAND GARDENS APARTMENT,4700 GATEWAY TERRACE SUITE B,HALETHORPE,21227,BALTIMORE
LANDSDOWNE PAL ,2301 ALMA ROAD ,HALETHORPE,21227,BALTIMORE
LANSDOWNE HIGH ,3800 HOLLINS FERRY RD,HALETHORPE,21227,BALTIMORE
LANSDOWNE CHURCH OF GOD CHILDCARE,2130 SMITH AVE.,HALETHORPE,21227,BALTIMORE
JOHNNYCAKE ELEMENTARY,5910 CRAIGMONT RD,CATONSVILLE,21228,BALTIMORE
HALSTEAD ACADEMY,1111 HALSTEAD RD,PARKVILLE,21234,BALTIMORE
HILLENDALE PAL CENTER,1111 HALSTEAD ROAD ,PARKVILLE,21234,BALTIMORE
SHADY SPRING PAL,8876 GOLDENWOOD ROAD,ROSEDALE,21237,BALTIMORE
SCOTTS BRANCH PAL CNT,3651 ROLLING ROAD ,WINDSOR MILL,21244,BALTIMORE
SCOTTS BRANCH ELEMENTARY,8220 TAWNMOORE RD,WINDSOR MILL,21244,BALTIMORE
WINFIELD PAL ,8304 CARLSON LANE ,WINDSOR MILL,21244,BALTIMORE
PLEASANT PLAINS ELEMENTARY,8300 PLEASANT PLAINS,TOWSON,21286,BALTIMORE
2790 MCCULLOH HOMES HIGH RISE,1100 DRUID HILL AVE - MGMT OFF,BALTIMORE,21201,BALTIMORE CITY
1802 LEXINGTON POE,206 N FREMONT AVE,BALTIMORE,21201,BALTIMORE CITY
2791 LATROBE HOMES,900 E MADISON,BALTIMORE,21202,BALTIMORE CITY
8020 MOBILE MEALS - CAROLINE,100 SOUTH CAROLINE,BALTIMORE,21202,BALTIMORE CITY
8017 WESTPORT ELEMENTARY MOBILE MEALS,2401 NEVADA,BALTIMORE,21202,BALTIMORE CITY
3528 NAZARENE BAPTIST CHURCH,1201 HARFORD RD,BALTIMORE,21202,BALTIMORE CITY
8006 MOBILE MEALS - BOCEK PARK,3000 EAST MADISON STREET,BALTIMORE,21205,BALTIMORE CITY
CARROLL F. COOK REC,5061 EAST EAGER STREET,BALTIMORE,21205,BALTIMORE CITY
CHICK WEBB REC,623 NORTH EDEN STREET,BALTIMORE,21205,BALTIMORE CITY
CHICK WEBB RECREATION CTR,623 N. EDEN STREET,BALTIMORE,21205,BALTIMORE CITY
CARROLL F. COOK RECREATION CENTER,5061 E. EAGER ST.,BALTIMORE,21205,BALTIMORE CITY
GARDENVILLE RECREATION CENTER,4517 HAZELWOOD AVE.,BALTIMORE,21206,BALTIMORE CITY
HERRING RUN RECREATION CENTER,5001 SINCLAIR LANE  REAR,BALTIMORE,21206,BALTIMORE CITY
HERRING RUN REC,5001 SINCLAIR LANE,BALTIMORE,21206,BALTIMORE CITY
WALTER P. CARTER CHILD CARE,4815 FRANKFORD AVE,BALTIMORE,21206,BALTIMORE CITY
YSP @ FURLEY REC,4633 FURLEY AVE,BALTIMORE,21206,BALTIMORE CITY
8015 GWYNN OAK & MILFORD MOBILE MEALS,5032 GWYNN OAK AVENUE,GWYNN OAK,21207,BALTIMORE CITY
GARDENVILLE REC,4517 HAZELWOOD AVE,BALTIMORE,21207,BALTIMORE CITY
0356 LIBERTY REC AND TECH,3901 MAINE AVE,GWYNN OAK,21207,BALTIMORE CITY
MEDFIELD HEIGHTS RECREATION CENTER,1501 WOODHEIGHTS AVENUE,BALTIMORE,21211,BALTIMORE CITY
ROOSEVELT COMMUNITY CENTER,1221 W 36TH STREET,BALTIMORE,21211,BALTIMORE CITY
MEDFIELD REC,1501 WOODHEIGHTS AVE,BALTIMORE,21211,BALTIMORE CITY
ROOSEVELT REC,1221 WEST 36TH STREET,BALTIMORE,21211,BALTIMORE CITY
3901 ITALIAN CULTURAL CENTER - BE A CHEF FOR A DAY,315 HOMELAND SOUTHWAY,BALTIMORE,21212,BALTIMORE CITY
DEWEES REC,5501 IVANHOE AVE,BALTIMORE,21212,BALTIMORE CITY
DEWEES RECREATION CENTER,5501 IVANHOE AVENUE,BALTIMORE,21212,BALTIMORE CITY
OLIVER RECREATION CTR,1600 N. SPRING STREET,BALTIMORE,21213,BALTIMORE CITY
MADISON SQUARE RECREATION CENTER,1401 E. BIDDLE STREET,BALTIMORE,21213,BALTIMORE CITY
229 COLLINGTON SQUARE ,1309 N. PATTERSON PARK AVE,BALTIMORE,21213,BALTIMORE CITY
3235 RITA CHURCH COMMUNITY CENTER,2101 SAINT LO DRIVE,BALTIMORE,21213,BALTIMORE CITY
COLLINGTON SQUARE REC,409 NORTH COLLINGTON AVE,BALTIMORE,21213,BALTIMORE CITY
MADISON SQUARE REC,1401 EAST BIDDLE,BALTIMORE,21213,BALTIMORE CITY
OLIVER REC,1600 NORTH SPRING STREET,BALTIMORE,21213,BALTIMORE CITY
8009 PARKSIDE METHODIST MOBILE MEALS,4400 PARKSIDE DRIVE,BALTIMORE,21213,BALTIMORE CITY
8008 FOOD DEPOT MOBILE MEALS,2401 BELAIR RD,BALTIMORE,21213,BALTIMORE CITY
RITA CHURCH COMMUNITY CENTER,101 ST. LO DRIVE,BALTIMORE,21213,BALTIMORE CITY
8013 GARRISON MIDDLE SCHOOL MOBILE MEALS,3910 BARRINGTON ROAD,BALTIMORE,21215,BALTIMORE CITY
LANGSTON HUGHES COMMUNITY CENTER ,5011 ARBUTUS AVENUE ,BALTIMORE,21215,BALTIMORE CITY
8014 NORTHWESTERN CAP,2929 REISTERSTOWN ROAD,BALTIMORE,21215,BALTIMORE CITY
JAMES D. GROSS,4600 LANIER AVE,BALTIMORE,21215,BALTIMORE CITY
CC JACKSON REC,4910 PARKHEIGHTS AVE,BALTIMORE,21215,BALTIMORE CITY
359 C.C. JACKSON COMMUNITY CENTER,4910 PARK HEIGHTS AVE,BALTIMORE,21215,BALTIMORE CITY
3410 CALLOWHILL AQUATIC CENTER,2821 OAKLEY AVE,BALTIMORE,21215,BALTIMORE CITY
JAMES D. GROSS RECREATION CENTER,4600 LANIER AVENUE,BALTIMORE,21215,BALTIMORE CITY
CALLOWHILL AQUATICS,2821 OAKLEY AVE,BALTIMORE,21215,BALTIMORE CITY
CATHERINE'S FAMILY AND YOUTH SERVICES,2406 LOYOLA NORTHWAY,BALTIMORE,21215,BALTIMORE CITY
3488 REHOBOTH MINISTRIES COGIC,4423 PIMLICO ROAD,BALTIMORE,21215,BALTIMORE CITY
BNOS YISROEL,6300 PARK HEIGHTS AVE,BALTIMORE,21215,BALTIMORE CITY
3905 ROSEMONT DUKELAND,1121 N ELLAMONT,BALTIMORE,21216,BALTIMORE CITY
EASTERWOOD REC,1530 NORTH BENTALOU STREET,BALTIMORE,21216,BALTIMORE CITY
8011 WILBUR WALTERS PARK,1600 NORTH DUKELAND,BALTIMORE,21216,BALTIMORE CITY
8012 GARRISON MOBILE MEALS ,2605 GARRISON BLVD,BALTIMORE,21216,BALTIMORE CITY
ROBERT C. MARSHALL REC,1201 PENNSYLVANIA AVE,BALTIMORE,21217,BALTIMORE CITY
CRISPUS ATTUCKS,1601 WEST MADISON AVENUE,BALTIMORE,21217,BALTIMORE CITY
LILLIAN JONES,1310 NORTH STRICKER STREET,BALTIMORE,21217,BALTIMORE CITY
PARKVIEW REC,2610 FRANCIS STREET,BALTIMORE,21217,BALTIMORE CITY
HARLEM PARK REC,700 NORTH CALHOUN STREET,BALTIMORE,21217,BALTIMORE CITY
MOUNT ROYAL REC,120 WEST MOSHER STREET,BALTIMORE,21217,BALTIMORE CITY
3906 GILMOR HOMES,1640 BALMOR COURT,BALTIMORE,21217,BALTIMORE CITY
MT ROYAL RECREATION CTR,120 WEST MOSHER STREET,BALTIMORE,21217,BALTIMORE CITY
ROBERT MARSHALL RECREATION CENTER,1201 PENNSYLVANIA AVE,BALTIMORE,21217,BALTIMORE CITY
8022 BILLIE HOLIDAY STATUE - MOBILE MEALS,1401 PENNSYLVANIA AVENUE,BALTIMORE,21217,BALTIMORE CITY
760 HARLEM PARK REC CENTER,700 N CALHOUN,BALTIMORE,21217,BALTIMORE CITY
364 PARKVIEW RECREATION CENTER,2610 FRANCIS STREET,BALTIMORE,21217,BALTIMORE CITY
772 CRISPUS ATTUCKS RECREATION CENTER,1601 WEST MADISON AVENUE,BALTIMORE,21217,BALTIMORE CITY
761 LILLIAN JONES RECREATION CENTER,1310 N. STRICKER STREET,BALTIMORE,21217,BALTIMORE CITY
3903 FRANCISCAN CENTER,101 WEST 23RD ST,BALTIMORE,21218,BALTIMORE CITY
GREENMOUNT RECREATION CTR,2304 GREENMOUNT AVENUE,BALTIMORE,21218,BALTIMORE CITY
COLDSTREAM RECREATION CTR,1401 FILLMORE AVENUE,BALTIMORE,21218,BALTIMORE CITY
CECIL KIRK RECREATION CENTER,909 EAST 22ND STREET,BALTIMORE,21218,BALTIMORE CITY
COLDSTREAM REC,1401 FILLMORE STREET,BALTIMORE,21218,BALTIMORE CITY
CECIL KIRK,909 EAST 22ND STREET,BALTIMORE,21218,BALTIMORE CITY
GREENMOUNT REC, 2304 GREENMOUNT AVE,BALTIMORE,21218,BALTIMORE CITY
8010 WAVERLY ELEMENTARY,3400 ELLERSLIE AVENUE,BALTIMORE,21218,BALTIMORE CITY
SAMUEL FB MORSE,424 SOUTH PULASKI STREET,BALTIMORE,21223,BALTIMORE CITY
SAMUEL B MORSE RECREATION CTR,424 SOUTH PULASKI STREET,BALTIMORE,21223,BALTIMORE CITY
BENTALOU RECREATION CENTER,220 NORTH BENTALOU STREET,BALTIMORE,21223,BALTIMORE CITY
3802 GREATER ST. JOHN FULL GOSPEL ,1806 N PATTERSON PARK,BALTIMORE,21223,BALTIMORE CITY
519 JAMES MCHENRY REC CENTER,911 HOLLINS AVE,BALTIMORE,21223,BALTIMORE CITY
BENTLOU REC CENTER,222 NORTH BENTALOU,BALTIMORE,21223,BALTIMORE CITY
BAKER/PATTERSON PARK REC,2601 EAST BALTIMORE STREET,BALTIMORE,21224,BALTIMORE CITY
3453 BREATH OF GOD LUTHERAN CHURCH,141 S. CLINTON STREET,BALTIMORE,21224,BALTIMORE CITY
3197 JOSEPH LEE REC CENTER,6300 E PRATT ST,BALTIMORE,21224,BALTIMORE CITY
V.S. BAKER PATTERSON PARK RECREATION CENTER,2601 E. BALTIMORE STREET,BALTIMORE,21224,BALTIMORE CITY
8019 SOUTHEASTERN CAP MOBILE MEALS,3411 BANK ST,BALTIMORE,21224,BALTIMORE CITY
8018 O'DONNELL HEIGHTS MOBILE MEALS,1200 GUSRYAN,BALTIMORE,21224,BALTIMORE CITY
MORA CROSSMAN REC,701 SOUTH RAPPOLLA STREET,BALTIMORE,21224,BALTIMORE CITY
PATAPSCO REC,844 ROUND VIEW,BALTIMORE,21225,BALTIMORE CITY
FARRING BROOK REC,4501 FARRING COURT ,BALTIMORE,21225,BALTIMORE CITY
CHERRY HILL AQUATIC CENTER,2600 GILES ROAD,BROOKLYN,21225,BALTIMORE CITY
3190 ST. VERONICA SUMMER ACADEMY,2920 JOSEPH AVE.,BROOKLYN,21225,BALTIMORE CITY
8016 MOBILE MEALS - ST. ROSE OF LIMA,3803 4TH STREET,BROOKLYN,21225,BALTIMORE CITY
FARRING BAYBROOK RECREATION CENTER,4501 FAIRING COURT,BALTIMORE,21225,BALTIMORE CITY
3132 TENANT COUNCIL FOR BROOKLYN HOMES,4140 TENTH STREET,BROOKLYN,21225,BALTIMORE CITY
0523 PATAPSCO RECREATION CENTER,844 ROUNDVIEW ROAD,BROOKLYN,21225,BALTIMORE CITY
3904 MIDDLE BRANCH AQUATIC CENTER,2600 GILES RD,BROOKLYN,21225,BALTIMORE CITY
8021 BROOKLYN BIBLE CHAPEL - MOBILE MEALS,502 JACK ST,BROOKLYN,21225,BALTIMORE CITY
3900 EMMANUEL WESLEYAN CHURCH,3713 WEST BAY AVE,BROOKLYN,21225,BALTIMORE CITY
3902 CITY OF REFUGE BALTIMORE,901 PONTIAC AVENUE,BROOKLYN,21225,BALTIMORE CITY
CHERRY HILL HOMES,2700 SPELMAN ROAD,BALTIMORE,21225,BALTIMORE CITY
1501 BROOKLYN O'MALLEY BOYS & GIRLS CLUB,3560 3RD ST,BROOKLYN,21225,BALTIMORE CITY
BUILDING BLOCKS LEARNING AND DEVELOPMENT CENTER,501 EAST PATAPSCO AVE,BROOKLYN,21225,BALTIMORE CITY
CURTIS BAY RECREATION CTR,1630 FILBERT STREET,BALTIMORE,21226,BALTIMORE CITY
CURTIS BAY REC,1630 FILBERT STREET,BALTIMORE,21226,BALTIMORE CITY
FRED B LEIDIG REC,4521 FREDERICK AVE,BALTIMORE,21229,BALTIMORE CITY
EDGEWOOD/LYNDHURST,835 ALLENDALE STREET,BALTIMORE,21229,BALTIMORE CITY
MARY E. RODMAN,3600 MULBERRY,BALTIMORE,21229,BALTIMORE CITY
FRED B. LEIDIG RECREATION CTR,4521 FREDERICK AVENUE,BALTIMORE,21229,BALTIMORE CITY
MARY RODMAN RECREATION CTR,3600 W. MULBERRY STREET,BALTIMORE,21229,BALTIMORE CITY
EDGEWOOD LYNHURST RECREATION CENTER,835 ALLENDALE ST.,BALTIMORE,21229,BALTIMORE CITY
MORRELL PARK RECREATION CENTER,2651 TOLLEY STREET,BALTIMORE,21230,BALTIMORE CITY
ELLA BAILEY RECREATION CENTER.,100 HEATH STREET,BALTIMORE,21230,BALTIMORE CITY
LAKELAND RECREATION CTR,2921A STRANDEN ROAD,BALTIMORE,21230,BALTIMORE CITY
3500 LOCUST POINT REC CENTER,1627 EAST FORT AVE,BALTIMORE,21230,BALTIMORE CITY
238 SOLO GIBBS RECREATION CENTER,1044 LEADENHALL ST.,BALTIMORE,21230,BALTIMORE CITY
2360 WESTPORT HOMES,2343 NORFOLK STREET,BALTIMORE,21230,BALTIMORE CITY
MORRELL PARK REC,2651 TOLLEY STREET,BALTIMORE,21230,BALTIMORE CITY
LOCUST POINT REC, 1627 EAST FORT AVE,BALTIMORE,21230,BALTIMORE CITY
LAKELAND REC,2921 STRANDEN ROAD,BALTIMORE,21230,BALTIMORE CITY
ELLA BAILEY REC,100 EAST HEATH STREET,BALTIMORE,21230,BALTIMORE CITY
SOLO GIBBS REC,1044 LEADENHALL STREET,BALTIMORE,21230,BALTIMORE CITY
POWER HOUSE,316 CAROLINE STREET,BALTIMORE,21231,BALTIMORE CITY
