Site Name,Street,City,Zip
YSP @ FURLEY REC,4633 FURLEY AVE,BALTIMORE,21206
WALTER P. CARTER CHILD CARE,4815 FRANKFORD AVE,BALTIMORE,21206
PIMLICO ELEMENTARY/MIDDLE SCHOOL,4849 PIMLICO ROAD,BALTIMORE,21215
359 C.C. JACKSON COMMUNITY CENTER,4910 PARK HEIGHTS AVE,BALTIMORE,21215
HERRING RUN RECREATION CENTER,5001 SINCLAIR LANE,BALTIMORE,21206
BUILDING BLOCKS LEARNING AND DEVELOPMENT CENTER,501 EAST PATAPSCO AVE,BROOKLYN,21225
LANGSTON HUGHES COMMUNITY CENTER ,5011 ARBUTUS AVENUE ,BALTIMORE,21215
8021 BROOKLYN BIBLE CHAPEL - MOBILE MEALS,502 JACK ST,BROOKLYN,21225
8015 GWYNN OAK & MILFORD MOBILE MEALS,5032 GWYNN OAK AVENUE,GWYNN OAK,21207
CARROLL F. COOK RECREATION CENTER,5061 EAST EAGER STREET,BALTIMORE,21205
DEWEES RECREATION CENTER,5501 IVANHOE AVENUE,BALTIMORE,21212
CITY NEIGHBORS HAMILTON,5609 SEFTON AVENUE,BALTIMORE,21214
3533 MCCULLOH HOMES LOW RISE,570 W. PRESTON STREET,BALTIMORE,21201
CHICK WEBB REC,623 NORTH EDEN STREET,BALTIMORE,21205
3197 JOSEPH LEE REC CENTER,6300 EAST PRATT ST,BALTIMORE,21224
BNOS YISROEL,6300 PARK HEIGHTS AVE,BALTIMORE,21215
IMPROVE ,6622 LOCH RAVEN BLVD,BALTIMORE,21239
760 HARLEM PARK REC CENTER,700 NORTH CALHOUN STREET,BALTIMORE,21217
SANDTOWN-WINCHESTER ACHIEVEMENT ACADEMY ,701 GOLD STREET,BALTIMORE,21217
MORA CROSSMAN REC,701 SOUTH RAPPOLLA STREET,BALTIMORE,21224
WOODHOME RECREATION CENTER,7310 MOYER AVE,BALTIMORE,21234
EDGEWOOD LYNHURST RECREATION CENTER,835 ALLENDALE STREET,BALTIMORE,21229
0523 PATAPSCO RECREATION CENTER,844 ROUNDVIEW ROAD,BROOKLYN,21225
2791 LATROBE HOMES,900 EAST MADISON STREET,BALTIMORE,21202
3902 CITY OF REFUGE BALTIMORE,901 PONTIAC AVENUE,BROOKLYN,21225
CECIL KIRK RECREATION CENTER,909 EAST 22ND STREET,BALTIMORE,21218
519 JAMES MCHENRY REC CENTER,911 HOLLINS AVE,BALTIMORE,21223
